hour,stop_id,total,label
0,23849,0,0
0,23849,3,0
0,23849,0,0
0,23850,0,0
0,23850,0,0
0,23101,0,0
0,23101,57,1
0,23101,202,2
0,23101,28,1
0,23101,646,2
0,23101,0,0
0,23101,0,0
0,23102,110,1
0,23102,208,2
0,23102,167,1
0,23102,19,0
0,23102,0,0
0,23102,0,0
0,23102,284,2
0,23103,0,0
0,23103,0,0
0,23103,165,1
0,23103,0,0
0,23103,12,0
0,23103,239,2
0,23103,62,1
0,23104,101,1
0,23104,164,1
0,23104,103,1
0,23104,0,0
0,23104,0,0
0,23104,179,1
0,23104,8,0
0,23105,258,2
0,23105,25,1
0,23105,0,0
0,23105,142,1
0,23105,0,0
0,23106,167,1
0,23106,76,1
0,23106,15,0
0,23106,0,0
0,23106,0,0
0,23107,257,2
0,23107,0,0
0,23107,0,0
0,23107,0,0
0,23108,7,0
0,23108,0,0
0,23108,530,2
0,23108,0,0
0,23108,0,0
0,23108,0,0
0,23109,5,0
0,23109,0,0
0,23109,17,0
0,23109,112,1
0,23110,157,1
0,23110,0,0
0,23110,1,0
0,23110,0,0
0,23110,93,1
0,23110,83,1
0,23110,255,2
0,23111,102,1
0,23111,275,2
0,23111,0,0
0,23111,0,0
0,23111,125,1
0,23111,0,0
0,23112,103,1
0,23112,0,0
0,23112,75,1
0,23112,0,0
0,23112,193,1
0,23113,239,2
0,23113,0,0
0,23113,110,1
0,23113,0,0
0,23113,28,1
0,23114,293,2
0,23114,25,1
0,23114,134,1
0,23114,0,0
0,23115,17,0
0,23115,18,0
0,23115,0,0
0,23115,0,0
0,23116,18,0
0,23116,53,1
0,23116,0,0
0,23116,0,0
0,23117,74,1
0,23117,0,0
0,23117,144,1
0,23117,0,0
0,23117,13,0
0,23118,74,1
0,23118,0,0
0,23118,0,0
0,23118,181,1
0,23118,19,0
0,23119,202,2
0,23119,52,1
0,23119,54,1
0,23119,30,1
0,23119,0,0
0,23120,0,0
0,23120,24,1
0,23121,63,1
0,23121,0,0
0,23122,116,1
0,23122,0,0
0,23122,0,0
0,23123,57,1
0,23123,0,0
0,23123,0,0
0,23124,113,1
0,23124,0,0
0,23124,90,1
0,23125,91,1
0,23125,0,0
0,23125,86,1
0,23125,35,1
0,23126,0,0
0,23126,51,1
0,23127,0,0
0,23127,159,1
0,23127,48,1
0,23127,41,1
0,23127,416,2
0,23128,0,0
0,23128,0,0
0,23128,0,0
0,23129,0,0
0,23129,0,0
0,23130,141,1
0,23131,0,0
0,23132,0,0
0,23132,0,0
0,23132,0,0
0,23132,0,0
0,23133,0,0
0,23133,0,0
0,23133,0,0
0,23133,0,0
0,23134,130,1
0,23134,0,0
0,23134,136,1
0,23135,97,1
0,23135,162,1
0,23135,0,0
0,23136,17,0
0,23136,0,0
0,23136,0,0
0,23136,12,0
0,23136,215,2
0,23137,0,0
0,23137,0,0
0,23138,1,0
0,23138,0,0
0,23139,1,0
0,23139,75,1
0,23139,0,0
0,23139,78,1
0,23140,146,1
0,23140,36,1
0,23141,0,0
0,23141,0,0
0,23141,0,0
0,23141,0,0
0,23142,0,0
0,23142,0,0
0,23142,0,0
0,23142,0,0
0,23143,2,0
0,23143,0,0
0,23144,0,0
0,23145,0,0
0,23145,0,0
0,23145,0,0
0,23146,0,0
0,23146,0,0
0,23146,0,0
0,23147,0,0
0,23147,0,0
0,23147,15,0
0,23148,138,1
0,23148,147,1
0,23148,243,2
0,23148,212,2
0,23148,179,1
0,23148,13,0
0,23148,0,0
0,23148,0,0
0,23148,0,0
0,23148,6,0
0,23148,0,0
0,23149,0,0
0,23149,168,1
0,23149,1,0
0,23149,0,0
0,23149,0,0
0,23149,251,2
0,23149,299,2
0,23149,0,0
0,23149,143,1
0,23149,30,1
0,23149,555,2
0,23151,351,2
0,23151,0,0
0,23151,0,0
0,23152,0,0
0,23153,0,0
0,23153,18,0
0,23154,175,1
0,23154,0,0
0,23154,0,0
0,23156,110,1
0,23156,93,1
0,23156,117,1
0,23156,66,1
0,23156,11,0
0,23156,0,0
0,23156,150,1
0,23156,0,0
0,23156,3,0
0,23157,0,0
0,23157,0,0
0,23157,114,1
0,23157,0,0
0,23157,122,1
0,23157,162,1
0,23157,2,0
0,23157,0,0
0,23157,310,2
0,23157,16,0
0,23158,269,2
0,23158,189,1
0,23158,182,1
0,23158,23,1
0,23158,0,0
0,23158,381,2
0,23158,200,2
0,23158,0,0
0,23158,3,0
0,23159,0,0
0,23159,0,0
0,23159,303,2
0,23159,216,2
0,23159,2,0
0,23159,0,0
0,23159,13,0
0,23159,418,2
0,23159,0,0
0,23159,550,2
0,23160,0,0
0,23160,0,0
0,23160,65,1
0,23160,265,2
0,23160,869,2
0,23161,27,1
0,23161,756,2
0,23161,0,0
0,23161,0,0
0,23161,0,0
0,23162,6,0
0,23162,390,2
0,23162,0,0
0,23163,4,0
0,23163,118,1
0,23163,0,0
0,23164,0,0
0,23164,60,1
0,23164,153,1
0,23164,136,1
0,23165,1,0
0,23165,0,0
0,23165,104,1
0,23165,49,1
0,23166,557,2
0,23166,0,0
0,23166,0,0
0,23166,9,0
0,23166,0,0
0,23166,452,2
0,23166,233,2
0,23167,0,0
0,23167,0,0
0,23167,0,0
0,23167,209,2
0,23167,68,1
0,23167,371,2
0,23167,23,1
0,23167,192,1
0,23168,27,1
0,23168,2,0
0,23168,67,1
0,23168,323,2
0,23168,0,0
0,23168,0,0
0,23169,0,0
0,23169,31,1
0,23169,255,2
0,23169,0,0
0,23169,0,0
0,23169,181,1
0,23169,207,2
0,23169,0,0
0,23169,0,0
0,23169,16,0
0,23170,0,0
0,23170,7,0
0,23170,50,1
0,23170,0,0
0,23170,89,1
0,23170,87,1
0,23170,0,0
0,23170,0,0
0,23170,0,0
0,23171,12,0
0,23171,1,0
0,23171,314,2
0,23171,0,0
0,23171,62,1
0,23171,184,1
0,23171,0,0
0,23171,0,0
0,23171,30,1
0,23172,0,0
0,23172,8,0
0,23172,0,0
0,23172,0,0
0,23172,0,0
0,23172,0,0
0,23173,0,0
0,23173,0,0
0,23173,0,0
0,23173,0,0
0,23173,0,0
0,23173,8,0
0,23174,57,1
0,23174,20,1
0,23174,5,0
0,23174,0,0
0,23175,8,0
0,23175,14,0
0,23175,95,1
0,23176,0,0
0,23176,0,0
0,23176,0,0
0,23176,0,0
0,23176,7,0
0,23176,0,0
0,23176,0,0
0,23177,0,0
0,23177,0,0
0,23177,25,1
0,23177,0,0
0,23177,0,0
0,23177,0,0
0,23177,0,0
0,23178,223,2
0,23178,0,0
0,23178,0,0
0,23178,0,0
0,23178,6,0
0,23180,0,0
0,23180,248,2
0,23181,370,2
0,23181,397,2
0,23181,379,2
0,23181,0,0
0,23181,0,0
0,23182,0,0
0,23182,0,0
0,23182,108,1
0,23182,0,0
0,23182,184,1
0,23183,0,0
0,23183,0,0
0,23183,20,1
0,23184,0,0
0,23184,0,0
0,23184,7,0
0,23185,0,0
0,23186,0,0
0,23186,15,0
0,23186,113,1
0,23186,73,1
0,23186,145,1
0,23186,10,0
0,23187,26,1
0,23187,8,0
0,23187,89,1
0,23187,0,0
0,23187,11,0
0,23187,120,1
0,23188,10,0
0,23188,1,0
0,23188,0,0
0,23188,57,1
0,23188,84,1
0,23188,84,1
0,23188,0,0
0,23188,0,0
0,23188,6,0
0,23189,0,0
0,23189,0,0
0,23189,40,1
0,23189,15,0
0,23189,50,1
0,23189,75,1
0,23189,99,1
0,23189,34,1
0,23189,0,0
0,23189,18,0
0,23189,0,0
0,23189,146,1
0,23189,98,1
0,23189,0,0
0,23189,0,0
0,23190,0,0
0,23190,0,0
0,23191,14,0
0,23191,23,1
0,23192,0,0
0,23192,54,1
0,23192,5,0
0,23192,0,0
0,23192,0,0
0,23192,800,2
0,23192,0,0
0,23192,0,0
0,23192,0,0
0,23192,0,0
0,23192,130,1
0,23192,0,0
0,23192,220,2
0,23192,70,1
0,23193,1,0
0,23193,36,1
0,23194,30,1
0,23195,7,0
0,23195,0,0
0,23196,0,0
0,23196,0,0
0,23196,2,0
0,23196,0,0
0,23196,0,0
0,23196,37,1
0,23196,65,1
0,23196,0,0
0,23196,0,0
0,23196,0,0
0,23196,0,0
0,23196,0,0
0,23196,0,0
0,23196,153,1
0,23196,0,0
0,23196,138,1
0,23197,0,0
0,23197,113,1
0,23197,39,1
0,23197,3,0
0,23197,0,0
0,23197,0,0
0,23197,109,1
0,23197,0,0
0,23197,515,2
0,23197,0,0
0,23197,0,0
0,23197,0,0
0,23197,252,2
0,23197,0,0
0,23197,48,1
0,23197,0,0
0,23197,0,0
0,23198,27,1
0,23198,33,1
0,23198,10,0
0,23198,0,0
0,23198,39,1
0,23198,43,1
0,23198,82,1
0,23198,0,0
0,23198,91,1
0,23198,219,2
0,23198,160,1
0,23198,25,1
0,23198,0,0
0,23198,0,0
0,23199,0,0
0,23199,0,0
0,23199,52,1
0,23199,0,0
0,23199,0,0
0,23199,0,0
0,23201,0,0
0,23201,179,1
0,23201,40,1
0,23201,0,0
0,23201,0,0
0,23201,232,2
0,23201,0,0
0,23201,0,0
0,23201,0,0
0,23201,306,2
0,23201,0,0
0,23201,263,2
0,23201,0,0
0,23201,374,2
0,23202,0,0
0,23202,42,1
0,23202,0,0
0,23202,0,0
0,23202,33,1
0,23203,0,0
0,23203,0,0
0,23203,0,0
0,23203,48,1
